,race_id,season,race_number,date,site,cars,winner,start,make/model,len,sfc,miles,purse,pole,cautions,caution_laps,speed,lc,href
102,102,2004,31,2004-10-16,Charlotte,43,Jimmie Johnson,9,Chevrolet,1.5,P,501,3833964.0,188.877,11,53,130.214,18,https://www.racing-reference.info/race-results/2004_UAW-GM_Quality_500/W
103,103,2004,32,2004-10-24,Martinsville,43,Jimmie Johnson,18,Chevrolet,0.526,P,263,3592416.0,97.043,17,125,66.103,22,https://www.racing-reference.info/race-results/2004_Subway_500/W
104,104,2004,33,2004-10-31,Atlanta,43,Jimmie Johnson,8,Chevrolet,1.54,P,501,4556572.0,191.575,6,33,145.847,16,https://www.racing-reference.info/race-results/2004_Bass_Pro_Shops_MBNA_500/W
105,105,2004,34,2004-11-07,Phoenix,43,"Dale Earnhardt, Jr.",14,Chevrolet,1.0,P,315,3724017.0,135.854,11,63,94.848,10,https://www.racing-reference.info/race-results/2004_Checker_Auto_Parts_500/W
106,106,2004,35,2004-11-14,Darlington,43,Jimmie Johnson,4,Chevrolet,1.366,P,501,4038809.0,,8,47,125.044,27,https://www.racing-reference.info/race-results/2004_Mountain_Dew_Southern_500/W
107,107,2004,36,2004-11-21,Homestead,43,Greg Biffle,2,Ford,1.5,P,407,3948250.0,179.319,14,79,105.623,14,https://www.racing-reference.info/race-results/2004_Ford_400/W
108,108,2005,1,2005-02-20,Daytona,43,Jeff Gordon,15,Chevrolet,2.5,P,508,14322448.0,188.312,11,45,135.173,22,https://www.racing-reference.info/race-results/2005_Daytona_500/W
109,109,2005,2,2005-02-27,Fontana,43,Greg Biffle,5,Ford,2.0,P,500,5017255.0,188.245,7,40,139.697,26,https://www.racing-reference.info/race-results/2005_Auto_Club_500/W
110,110,2005,3,2005-03-13,Las Vegas,43,Jimmie Johnson,9,Chevrolet,1.5,P,401,5311328.0,173.745,10,46,121.038,25,https://www.racing-reference.info/race-results/2005_UAW-Daimler_Chrysler_400/W
111,111,2005,4,2005-03-20,Atlanta,43,Carl Edwards,4,Ford,1.54,P,501,4091540.0,194.69,8,40,143.478,27,https://www.racing-reference.info/race-results/2005_Golden_Corral_500/W
112,112,2005,5,2005-04-03,Bristol,43,Kevin Harvick,13,Chevrolet,0.533,P,267,4583930.0,127.733,14,115,77.496,14,https://www.racing-reference.info/race-results/2005_Food_City_500/W
113,113,2005,6,2005-04-10,Martinsville,43,Jeff Gordon,16,Chevrolet,0.526,P,263,4065850.0,96.671,16,91,72.099,17,https://www.racing-reference.info/race-results/2005_Advance_Auto_Parts_500/W
114,114,2005,7,2005-04-17,Fort Worth,43,Greg Biffle,5,Ford,1.5,P,501,5142903.0,192.582,11,56,130.055,25,https://www.racing-reference.info/race-results/2005_Samsung_Radio_Shack_500/W
115,115,2005,8,2005-04-23,Phoenix,43,Kurt Busch,2,Ford,1.0,P,312,4104822.0,133.675,9,43,102.707,16,https://www.racing-reference.info/race-results/2005_Subway_Fresh_500/W
116,116,2005,9,2005-05-01,Talladega,43,Jeff Gordon,2,Chevrolet,2.66,P,516,5006878.0,189.804,8,30,146.904,33,https://www.racing-reference.info/race-results/2005_Aaron%27s_499/W
117,117,2005,10,2005-05-07,Darlington,43,Greg Biffle,3,Ford,1.366,P,505,4583959.0,170.024,12,48,123.031,30,https://www.racing-reference.info/race-results/2005_Dodge_Charger_500/W
118,118,2005,11,2005-05-14,Richmond,43,Kasey Kahne,1,Dodge,0.75,P,300,4170131.0,129.964,9,53,100.316,21,https://www.racing-reference.info/race-results/2005_Chevy_American_Revolution_400/W
119,119,2005,12,2005-05-29,Charlotte,43,Jimmie Johnson,5,Chevrolet,1.5,P,600,5559507.0,192.988,22,103,114.698,37,https://www.racing-reference.info/race-results/2005_Coca-Cola_600/W
120,120,2005,13,2005-06-05,Dover,43,Greg Biffle,2,Ford,1.0,P,400,4806320.0,,7,33,122.626,9,https://www.racing-reference.info/race-results/2005_MBNA_RacePoints_400/W
121,121,2005,14,2005-06-12,Pocono,43,Carl Edwards,29,Ford,2.5,P,503,4072831.0,169.052,8,32,129.177,14,https://www.racing-reference.info/race-results/2005_Pocono_500/W
122,122,2005,15,2005-06-19,Michigan,43,Greg Biffle,25,Ford,2.0,P,400,4252013.0,194.232,4,23,150.596,20,https://www.racing-reference.info/race-results/2005_Batman_Begins_400/W
123,123,2005,16,2005-06-26,Sonoma,43,Tony Stewart,7,Chevrolet,1.99,R,219,4599240.0,94.325,8,18,72.845,7,https://www.racing-reference.info/race-results/2005_Dodge_Save_Mart_350/W
124,124,2005,17,2005-07-02,Daytona,43,Tony Stewart,1,Chevrolet,2.5,P,400,5169861.0,185.582,9,41,131.016,7,https://www.racing-reference.info/race-results/2005_Pepsi_400/W
125,125,2005,18,2005-07-10,Chicago,43,"Dale Earnhardt, Jr.",25,Chevrolet,1.5,P,401,5038793.0,188.147,10,47,127.638,17,https://www.racing-reference.info/race-results/2005_USG_Sheetrock_400/W
126,126,2005,19,2005-07-17,Loudon,43,Tony Stewart,13,Chevrolet,1.058,P,317,4411113.0,130.327,10,49,102.608,14,https://www.racing-reference.info/race-results/2005_New_England_300/W
127,127,2005,20,2005-07-24,Pocono,43,Kurt Busch,2,Ford,2.5,P,508,4077931.0,168.76,13,40,125.283,13,https://www.racing-reference.info/race-results/2005_Pennsylvania_500/W
128,128,2005,21,2005-08-07,Indianapolis,43,Tony Stewart,22,Chevrolet,2.5,P,400,8087058.0,184.117,10,43,118.782,15,https://www.racing-reference.info/race-results/2005_Allstate_400_At_The_Brickyard/W
129,129,2005,22,2005-08-14,Watkins Glen,43,Tony Stewart,1,Chevrolet,2.45,R,225,3990100.0,,7,14,86.804,9,https://www.racing-reference.info/race-results/2005_Sirius_Satellite_Radio_at_the_Glen/W
130,130,2005,23,2005-08-21,Michigan,43,Jeremy Mayfield,11,Dodge,2.0,P,400,4249208.0,191.53,7,30,141.551,19,https://www.racing-reference.info/race-results/2005_GFS_Marketplace_400/W
131,131,2005,24,2005-08-27,Bristol,43,Matt Kenseth,1,Ford,0.533,P,267,5162959.0,127.3,16,88,84.678,17,https://www.racing-reference.info/race-results/2005_Sharpie_500/W
132,132,2005,25,2005-09-04,Fontana,43,Kyle Busch,25,Chevrolet,2.0,P,508,5056153.0,185.061,11,43,136.356,30,https://www.racing-reference.info/race-results/2005_Sony_HD_500/W
133,133,2005,26,2005-09-10,Richmond,43,Kurt Busch,5,Ford,0.75,P,300,4181283.0,128.425,12,60,98.567,23,https://www.racing-reference.info/race-results/2005_Chevy_Rock_And_Roll_400/W
134,134,2005,27,2005-09-18,Loudon,43,Ryan Newman,13,Dodge,1.058,P,317,4401113.0,131.143,10,60,95.891,18,https://www.racing-reference.info/race-results/2005_Sylvania_300/W
135,135,2005,28,2005-09-25,Dover,43,Jimmie Johnson,5,Chevrolet,1.0,P,404,4303988.0,158.103,11,50,115.054,15,https://www.racing-reference.info/race-results/2005_MBNA_NASCAR_RacePoints_400/W
136,136,2005,29,2005-10-02,Talladega,43,Dale Jarrett,2,Ford,2.66,P,505,4659180.0,189.26,10,33,143.818,50,https://www.racing-reference.info/race-results/2005_UAW-Ford_500/W
137,137,2005,30,2005-10-09,Kansas,43,Mark Martin,19,Ford,1.5,P,401,5069143.0,180.856,7,28,137.774,16,https://www.racing-reference.info/race-results/2005_Banquet_400_Presented_by_ConAgra_Foods/W
138,138,2005,31,2005-10-15,Charlotte,43,Jimmie Johnson,3,Chevrolet,1.5,P,504,4491990.0,193.216,15,84,120.334,35,https://www.racing-reference.info/race-results/2005_UAW-GM_Quality_500/W
139,139,2005,32,2005-10-23,Martinsville,43,Jeff Gordon,15,Chevrolet,0.526,P,263,4020620.0,98.084,19,113,69.695,15,https://www.racing-reference.info/race-results/2005_Subway_500/W
140,140,2005,33,2005-10-30,Atlanta,43,Carl Edwards,2,Ford,1.54,P,501,5122420.0,193.928,9,39,146.834,27,https://www.racing-reference.info/race-results/2005_Bass_Pro_Shops_MBNA_500/W
141,141,2005,34,2005-11-06,Fort Worth,43,Carl Edwards,30,Ford,1.5,P,501,5936997.0,192.947,6,27,151.055,23,https://www.racing-reference.info/race-results/2005_Dickies_500/W
142,142,2005,35,2005-11-13,Phoenix,43,Kyle Busch,15,Chevrolet,1.0,P,312,4135727.0,134.173,9,44,102.641,10,https://www.racing-reference.info/race-results/2005_Checker_Auto_Parts_500/W
143,143,2005,36,2005-11-20,Homestead,43,Greg Biffle,7,Ford,1.5,P,401,4388116.0,176.051,8,37,131.431,21,https://www.racing-reference.info/race-results/2005_Ford_400/W
144,144,2006,1,2006-02-19,Daytona,43,Jimmie Johnson,9,Chevrolet,2.5,P,508,15521950.0,189.151,11,39,142.667,32,https://www.racing-reference.info/race-results/2006_Daytona_500/W
145,145,2006,2,2006-02-26,Fontana,43,Matt Kenseth,31,Ford,2.0,P,502,5083604.0,187.086,7,26,147.852,18,https://www.racing-reference.info/race-results/2006_Auto_Club_500/W
146,146,2006,3,2006-03-12,Las Vegas,43,Jimmie Johnson,3,Chevrolet,1.5,P,405,5268649.0,172.403,7,30,133.358,22,https://www.racing-reference.info/race-results/2006_UAW-Daimler_Chrysler_400/W
147,147,2006,4,2006-03-20,Atlanta,43,Kasey Kahne,1,Dodge,1.54,P,501,4158531.0,192.553,8,43,144.098,27,https://www.racing-reference.info/race-results/2006_Golden_Corral_500/W
148,148,2006,5,2006-03-26,Bristol,43,Kurt Busch,9,Dodge,0.533,P,267,4667638.0,,18,104,79.427,19,https://www.racing-reference.info/race-results/2006_Food_City_500/W
149,149,2006,6,2006-04-02,Martinsville,43,Tony Stewart,3,Chevrolet,0.526,P,263,4152141.0,96.736,16,87,72.741,12,https://www.racing-reference.info/race-results/2006_DirecTV_500/W
150,150,2006,7,2006-04-09,Fort Worth,43,Kasey Kahne,1,Dodge,1.5,P,501,6169524.0,190.315,9,43,137.943,22,https://www.racing-reference.info/race-results/2006_Samsung_Radio_Shack_500/W
151,151,2006,8,2006-04-22,Phoenix,43,Kevin Harvick,15,Chevrolet,1.0,P,312,4182372.0,133.745,7,29,107.063,20,https://www.racing-reference.info/race-results/2006_Subway_Fresh_500/W
152,152,2006,9,2006-05-01,Talladega,43,Jimmie Johnson,16,Chevrolet,2.66,P,500,5103240.0,188.511,8,34,142.891,56,https://www.racing-reference.info/race-results/2006_Aaron%27s_499/W
153,153,2006,10,2006-05-06,Richmond,43,"Dale Earnhardt, Jr.",10,Chevrolet,0.75,P,300,4244130.0,127.395,11,61,97.061,12,https://www.racing-reference.info/race-results/2006_Crown_Royal_400/W
154,154,2006,11,2006-05-13,Darlington,43,Greg Biffle,9,Ford,1.366,P,501,4658259.0,169.013,6,24,135.127,25,https://www.racing-reference.info/race-results/2006_Dodge_Charger_500/W
155,155,2006,12,2006-05-28,Charlotte,43,Kasey Kahne,9,Dodge,1.5,P,600,5575514.0,187.865,15,66,128.84,37,https://www.racing-reference.info/race-results/2006_Coca-Cola_600/W
156,156,2006,13,2006-06-04,Dover,43,Matt Kenseth,19,Ford,1.0,P,400,4899240.0,154.633,9,51,109.865,23,https://www.racing-reference.info/race-results/2006_Neighborhood_Excellence_400_Presented_by_Bank_of_America/W
157,157,2006,14,2006-06-11,Pocono,43,Denny Hamlin,1,Chevrolet,2.5,P,500,4159824.0,169.639,7,28,131.656,25,https://www.racing-reference.info/race-results/2006_Pocono_500/W
158,158,2006,15,2006-06-18,Michigan,43,Kasey Kahne,1,Dodge,2.0,P,258,4333619.0,185.644,9,37,118.788,17,https://www.racing-reference.info/race-results/2006_3M_Performance_400_Presented_by_Post-It_Picture_Paper/W
159,159,2006,16,2006-06-25,Sonoma,43,Jeff Gordon,11,Chevrolet,1.99,R,219,4632483.0,93.055,7,12,73.953,9,https://www.racing-reference.info/race-results/2006_Dodge_Save_Mart_350/W
160,160,2006,17,2006-07-01,Daytona,43,Tony Stewart,2,Chevrolet,2.5,P,400,5261738.0,186.143,6,19,153.143,29,https://www.racing-reference.info/race-results/2006_Pepsi_400/W
161,161,2006,18,2006-07-09,Chicago,43,Jeff Gordon,13,Chevrolet,1.5,P,405,5132248.0,181.647,8,34,132.077,18,https://www.racing-reference.info/race-results/2006_USG_Sheetrock_400/W
162,162,2006,19,2006-07-16,Loudon,43,Kyle Busch,4,Chevrolet,1.058,P,326,4489191.0,129.683,11,49,101.384,21,https://www.racing-reference.info/race-results/2006_Lenox_Industrial_Tools_300/W
163,163,2006,20,2006-07-23,Pocono,43,Denny Hamlin,1,Chevrolet,2.5,P,500,4159824.0,169.827,7,29,132.626,13,https://www.racing-reference.info/race-results/2006_Pennsylvania_500/W
164,164,2006,21,2006-08-06,Indianapolis,43,Jimmie Johnson,5,Chevrolet,2.5,P,400,8158257.0,182.778,8,24,137.182,18,https://www.racing-reference.info/race-results/2006_Allstate_400_At_The_Brickyard/W
165,165,2006,22,2006-08-13,Watkins Glen,43,Kevin Harvick,7,Chevrolet,2.45,R,221,4039139.0,122.966,10,22,76.718,14,https://www.racing-reference.info/race-results/2006_AMD_at_the_Glen/W
166,166,2006,23,2006-08-20,Michigan,43,Matt Kenseth,3,Ford,2.0,P,400,4320829.0,187.936,10,36,135.097,26,https://www.racing-reference.info/race-results/2006_GFS_Marketplace_400/W
167,167,2006,24,2006-08-26,Bristol,43,Matt Kenseth,4,Ford,0.533,P,267,5253226.0,124.906,10,62,90.025,18,https://www.racing-reference.info/race-results/2006_Sharpie_500/W
168,168,2006,25,2006-09-03,Fontana,43,Kasey Kahne,9,Dodge,2.0,P,500,5161883.0,184.54,7,29,144.462,26,https://www.racing-reference.info/race-results/2006_Sony_HD_500/W
169,169,2006,26,2006-09-09,Richmond,43,Kevin Harvick,5,Chevrolet,0.75,P,300,4260516.0,127.986,7,48,101.342,16,https://www.racing-reference.info/race-results/2006_Chevy_Rock_And_Roll_400/W
170,170,2006,27,2006-09-17,Loudon,43,Kevin Harvick,1,Chevrolet,1.058,P,317,4487191.0,132.282,10,47,102.195,17,https://www.racing-reference.info/race-results/2006_Sylvania_300/W
171,171,2006,28,2006-09-24,Dover,43,Jeff Burton,19,Chevrolet,1.0,P,400,4325713.0,156.162,10,48,111.966,12,https://www.racing-reference.info/race-results/2006_Dover_400/W
172,172,2006,29,2006-10-01,Kansas,43,Tony Stewart,21,Chevrolet,1.5,P,401,5132248.0,178.377,11,45,121.753,20,https://www.racing-reference.info/race-results/2006_Banquet_400_Presented_by_ConAgra_Foods/W
173,173,2006,30,2006-10-08,Talladega,43,Brian Vickers,9,Chevrolet,2.66,P,500,4547000.0,191.712,6,22,157.602,63,https://www.racing-reference.info/race-results/2006_UAW-Ford_500/W
174,174,2006,31,2006-10-14,Charlotte,43,Kasey Kahne,2,Dodge,1.5,P,501,4374795.0,191.469,10,52,132.142,34,https://www.racing-reference.info/race-results/2006_Bank_Of_America_500/W
175,175,2006,32,2006-10-22,Martinsville,43,Jimmie Johnson,9,Chevrolet,0.526,P,263,4105914.0,97.568,18,107,70.446,16,https://www.racing-reference.info/race-results/2006_Subway_500/W
176,176,2006,33,2006-10-29,Atlanta,43,Tony Stewart,11,Chevrolet,1.54,P,501,5205824.0,,9,39,143.421,24,https://www.racing-reference.info/race-results/2006_Bass_Pro_Shops_MBNA_500/W
177,177,2006,34,2006-11-05,Fort Worth,43,Tony Stewart,8,Chevrolet,1.5,P,509,6158041.0,196.235,12,51,134.891,23,https://www.racing-reference.info/race-results/2006_Dickies_500/W
178,178,2006,35,2006-11-12,Phoenix,43,Kevin Harvick,2,Chevrolet,1.0,P,312,3737835.0,134.464,10,58,96.131,12,https://www.racing-reference.info/race-results/2006_Checker_Auto_Parts_500_Presented_by_Pennzoil/W
179,179,2006,36,2006-11-19,Homestead,43,Greg Biffle,22,Ford,1.5,P,402,4478605.0,178.259,11,43,125.375,15,https://www.racing-reference.info/race-results/2006_Ford_400/W
180,180,2007,1,2007-02-18,Daytona,43,Kevin Harvick,34,Chevrolet,2.5,P,505,15640508.0,186.32,6,26,149.333,14,https://www.racing-reference.info/race-results/2007_Daytona_500/W
181,181,2007,2,2007-02-25,Fontana,43,Matt Kenseth,25,Ford,2.0,P,500,5185360.0,185.735,9,37,138.451,28,https://www.racing-reference.info/race-results/2007_Auto_Club_500/W
182,182,2007,3,2007-03-11,Las Vegas,43,Jimmie Johnson,23,Chevrolet,1.5,P,401,5467264.0,184.855,9,40,128.183,28,https://www.racing-reference.info/race-results/2007_UAW-Daimler_Chrysler_400/W
183,183,2007,4,2007-03-18,Atlanta,43,Jimmie Johnson,3,Chevrolet,1.54,P,501,4207936.0,193.124,6,27,152.915,31,https://www.racing-reference.info/race-results/2007_Kobalt_Tools_500/W
184,184,2007,5,2007-03-25,Bristol,43,Kyle Busch,20,Chevrolet,0.533,P,269,4745304.0,125.453,15,90,81.969,14,https://www.racing-reference.info/race-results/2007_Food_City_500/W
185,185,2007,6,2007-04-01,Martinsville,43,Jimmie Johnson,20,Chevrolet,0.526,P,263,4192370.0,95.103,13,93,70.258,14,https://www.racing-reference.info/race-results/2007_Goody%27s_Cool_Orange_500/W
186,186,2007,7,2007-04-15,Fort Worth,43,Jeff Burton,2,Chevrolet,1.5,P,501,6240747.0,,7,33,143.359,13,https://www.racing-reference.info/race-results/2007_Samsung_500/W
187,187,2007,8,2007-04-21,Phoenix,43,Jeff Gordon,1,Chevrolet,1.0,P,312,4224288.0,133.136,6,34,107.71,12,https://www.racing-reference.info/race-results/2007_Subway_Fresh_Fit_500/W
188,188,2007,9,2007-04-29,Talladega,43,Jeff Gordon,1,Chevrolet,2.66,P,511,5131410.0,192.069,8,28,154.167,42,https://www.racing-reference.info/race-results/2007_Aaron%27s_499/W
189,189,2007,10,2007-05-06,Richmond,43,Jimmie Johnson,4,Chevrolet,0.75,P,300,4267936.0,126.251,14,80,91.27,24,https://www.racing-reference.info/race-results/2007_Crown_Royal_Presents_The_Jim_Stewart_400/W
190,190,2007,11,2007-05-13,Darlington,43,Jeff Gordon,10,Chevrolet,1.366,P,501,4691994.0,164.987,10,44,124.383,21,https://www.racing-reference.info/race-results/2007_Dodge_Avenger_500/W
191,191,2007,12,2007-05-27,Charlotte,43,Casey Mears,16,Chevrolet,1.5,P,600,5653717.0,185.312,13,62,130.222,29,https://www.racing-reference.info/race-results/2007_Coca_Cola_600/W
192,192,2007,13,2007-06-04,Dover,43,"Martin Truex, Jr.",26,Chevrolet,1.0,P,400,4951654.0,152.925,7,35,118.95,18,https://www.racing-reference.info/race-results/2007_Autism_Speaks_400_Presented_by_Visa/W
193,193,2007,14,2007-06-10,Pocono,43,Jeff Gordon,18,Chevrolet,2.5,P,265,4212214.0,170.062,4,10,135.608,15,https://www.racing-reference.info/race-results/2007_Pocono_500/W
194,194,2007,15,2007-06-17,Michigan,43,Carl Edwards,12,Ford,2.0,P,400,4390723.0,187.505,4,19,148.072,22,https://www.racing-reference.info/race-results/2007_Citizens_Bank_400/W
195,195,2007,16,2007-06-24,Sonoma,43,Juan Pablo Montoya,32,Dodge,1.99,R,219,4676895.0,92.414,7,14,74.547,11,https://www.racing-reference.info/race-results/2007_Toyota_Save_Mart_350/W
196,196,2007,17,2007-07-01,Loudon,43,Denny Hamlin,11,Chevrolet,1.058,P,317,4541403.0,129.437,6,31,108.215,20,https://www.racing-reference.info/race-results/2007_Lenox_Industrial_Tools_300/W
197,197,2007,18,2007-07-07,Daytona,43,Jamie McMurray,15,Ford,2.5,P,400,5323628.0,,8,30,138.983,28,https://www.racing-reference.info/race-results/2007_Pepsi_400/W
198,198,2007,19,2007-07-15,Chicago,43,Tony Stewart,19,Chevrolet,1.5,P,401,5191653.0,182.556,7,32,134.258,20,https://www.racing-reference.info/race-results/2007_USG_Sheetrock_400/W
199,199,2007,20,2007-07-29,Indianapolis,43,Tony Stewart,14,Chevrolet,2.5,P,400,8298329.0,184.207,9,43,117.379,14,https://www.racing-reference.info/race-results/2007_Allstate_400_At_The_Brickyard/W
200,200,2007,21,2007-08-05,Pocono,43,Kurt Busch,2,Dodge,2.5,P,500,4212214.0,169.975,7,27,131.627,17,https://www.racing-reference.info/race-results/2007_Pennsylvania_500/W
201,201,2007,22,2007-08-12,Watkins Glen,43,Tony Stewart,5,Chevrolet,2.45,R,221,4082715.0,,8,20,77.535,9,https://www.racing-reference.info/race-results/2007_Centurion_Boats_at_the_Glen/W
202,202,2007,23,2007-08-21,Michigan,43,Kurt Busch,15,Dodge,2.0,P,406,4389946.0,189.026,8,36,117.044,18,https://www.racing-reference.info/race-results/2007_3M_Performance_400/W
203,203,2007,24,2007-08-25,Bristol,43,Carl Edwards,6,Ford,0.533,P,267,5313892.0,119.805,9,61,89.006,12,https://www.racing-reference.info/race-results/2007_Sharpie_500/W
204,204,2007,25,2007-09-02,Fontana,43,Jimmie Johnson,2,Chevrolet,2.0,P,500,5236335.0,182.399,11,43,131.502,30,https://www.racing-reference.info/race-results/2007_Sharp_Aquos_500/W
205,205,2007,26,2007-09-08,Richmond,43,Jimmie Johnson,1,Chevrolet,0.75,P,300,4316185.0,126.298,12,70,91.813,15,https://www.racing-reference.info/race-results/2007_Chevy_Rock_And_Roll_400/W
206,206,2007,27,2007-09-16,Loudon,43,Clint Bowyer,1,Chevrolet,1.058,P,317,4549103.0,130.412,7,27,110.475,13,https://www.racing-reference.info/race-results/2007_Sylvania_300/W
207,207,2007,28,2007-09-23,Dover,43,Carl Edwards,15,Ford,1.0,P,400,4374780.0,154.765,13,66,101.846,14,https://www.racing-reference.info/race-results/2007_Dodge_Dealers_400/W
208,208,2007,29,2007-09-30,Kansas,43,Greg Biffle,7,Ford,1.5,P,315,5199353.0,175.063,12,54,104.981,16,https://www.racing-reference.info/race-results/2007_Lifelock_400/W
209,209,2007,30,2007-10-07,Talladega,43,Jeff Gordon,34,Chevrolet,2.66,P,500,4603006.0,189.07,9,34,143.438,42,https://www.racing-reference.info/race-results/2007_UAW-Ford_500/W
210,210,2007,31,2007-10-13,Charlotte,43,Jeff Gordon,4,Chevrolet,1.5,P,506,4433635.0,189.394,15,62,125.868,26,https://www.racing-reference.info/race-results/2007_Bank_Of_America_500/W
211,211,2007,32,2007-10-21,Martinsville,43,Jimmie Johnson,4,Chevrolet,0.526,P,266,4155207.0,94.974,21,127,66.608,12,https://www.racing-reference.info/race-results/2007_Subway_500/W
212,212,2007,33,2007-10-28,Atlanta,43,Jimmie Johnson,6,Chevrolet,1.54,P,507,5255503.0,192.453,14,55,135.26,19,https://www.racing-reference.info/race-results/2007_Pep_Boys_Auto_500/W
213,213,2007,34,2007-11-04,Fort Worth,43,Jimmie Johnson,8,Chevrolet,1.5,P,501,6270378.0,193.105,12,52,131.219,27,https://www.racing-reference.info/race-results/2007_Dickies_500/W
214,214,2007,35,2007-11-11,Phoenix,43,Jimmie Johnson,6,Chevrolet,1.0,P,312,4254207.0,132.773,10,42,102.989,10,https://www.racing-reference.info/race-results/2007_Checker_Auto_Parts_500_Presented_by_Pennzoil/W
215,215,2007,36,2007-11-18,Homestead,43,Matt Kenseth,4,Ford,1.5,P,401,4540919.0,176.788,7,32,131.888,25,https://www.racing-reference.info/race-results/2007_Ford_400/W
216,216,2008,1,2008-02-17,Daytona,43,Ryan Newman,7,Dodge,2.5,P,500,16047052.0,187.075,7,23,152.672,42,https://www.racing-reference.info/race-results/2008_Daytona_500/W
217,217,2008,2,2008-02-25,Fontana,43,Carl Edwards,9,Ford,2.0,P,500,5232311.0,,12,44,132.704,33,https://www.racing-reference.info/race-results/2008_Auto_Club_500/W
218,218,2008,3,2008-03-02,Las Vegas,43,Carl Edwards,2,Ford,1.5,P,401,5505220.0,182.352,11,44,127.729,19,https://www.racing-reference.info/race-results/2008_UAW-Dodge_400/W
219,219,2008,4,2008-03-09,Atlanta,43,Kyle Busch,6,Toyota,1.54,P,501,4254305.0,185.251,8,35,140.975,26,https://www.racing-reference.info/race-results/2008_Kobalt_Tools_500/W
220,220,2008,5,2008-03-16,Bristol,43,Jeff Burton,8,Chevrolet,0.533,P,270,4798052.0,,10,68,89.775,17,https://www.racing-reference.info/race-results/2008_Food_City_500/W
221,221,2008,6,2008-03-30,Martinsville,43,Denny Hamlin,2,Toyota,0.526,P,263,4269418.0,96.288,18,89,73.163,20,https://www.racing-reference.info/race-results/2008_Goody%27s_Cool_Orange_500/W
222,222,2008,7,2008-04-06,Fort Worth,43,Carl Edwards,2,Ford,1.5,P,509,6307748.0,190.907,6,27,144.814,16,https://www.racing-reference.info/race-results/2008_Samsung_500/W
223,223,2008,8,2008-04-12,Phoenix,43,Jimmie Johnson,7,Chevrolet,1.0,P,312,4301830.0,133.457,8,42,103.292,10,https://www.racing-reference.info/race-results/2008_Subway_Fresh_Fit_500/W
224,224,2008,9,2008-04-27,Talladega,43,Kyle Busch,5,Toyota,2.66,P,500,5209475.0,187.386,8,23,157.409,52,https://www.racing-reference.info/race-results/2008_Aaron%27s_499/W
225,225,2008,10,2008-05-03,Richmond,43,Clint Bowyer,31,Chevrolet,0.75,P,308,4340768.0,126.198,11,62,95.786,4,https://www.racing-reference.info/race-results/2008_Crown_Royal_Presents_the_Dan_Lowry_400/W
226,226,2008,11,2008-05-10,Darlington,43,Kyle Busch,6,Toyota,1.366,P,501,4788401.0,179.442,8,31,140.35,35,https://www.racing-reference.info/race-results/2008_Dodge_Challenger_500/W
227,227,2008,12,2008-05-25,Charlotte,43,Kasey Kahne,2,Dodge,1.5,P,600,5685573.0,185.433,11,50,135.772,37,https://www.racing-reference.info/race-results/2008_Coca_Cola_600/W
228,228,2008,13,2008-06-01,Dover,43,Kyle Busch,3,Toyota,1.0,P,400,5007355.0,155.219,5,26,121.171,15,https://www.racing-reference.info/race-results/2008_Best_Buy_400_Benefiting_Student_Clubs_for_Autism_Speaks/W
229,229,2008,14,2008-06-08,Pocono,43,Kasey Kahne,1,Dodge,2.5,P,500,4270541.0,170.219,10,38,125.209,23,https://www.racing-reference.info/race-results/2008_Pocono_500/W
230,230,2008,15,2008-06-15,Michigan,43,"Dale Earnhardt, Jr.",3,Chevrolet,2.0,P,406,4453280.0,,7,22,145.375,31,https://www.racing-reference.info/race-results/2008_LifeLock_400/W
231,231,2008,16,2008-06-22,Sonoma,43,Kyle Busch,30,Toyota,1.99,R,223,4745121.0,92.153,6,14,76.445,5,https://www.racing-reference.info/race-results/2008_Toyota_Save_Mart_350/W
232,232,2008,17,2008-06-29,Loudon,43,Kurt Busch,26,Dodge,1.058,P,300,4565787.0,129.776,7,33,106.719,9,https://www.racing-reference.info/race-results/2008_Lenox_Industrial_Tools_301/W
233,233,2008,18,2008-07-05,Daytona,43,Kyle Busch,9,Toyota,2.5,P,405,5372729.0,185.916,11,33,138.554,21,https://www.racing-reference.info/race-results/2008_Coke_Zero_400_Powered_by_Coca-Cola/W
234,234,2008,19,2008-07-12,Chicago,43,Kyle Busch,1,Toyota,1.5,P,401,5241854.0,,9,33,133.996,16,https://www.racing-reference.info/race-results/2008_Lifelock.com_400/W
235,235,2008,20,2008-07-27,Indianapolis,43,Jimmie Johnson,1,Chevrolet,2.5,P,400,8329981.0,181.763,11,52,115.117,26,https://www.racing-reference.info/race-results/2008_Allstate_400_At_The_Brickyard/W
236,236,2008,21,2008-08-03,Pocono,43,Carl Edwards,15,Ford,2.5,P,500,4278541.0,168.215,7,31,130.567,25,https://www.racing-reference.info/race-results/2008_Sunoco_Red_Cross_Pennsylvania_500/W
237,237,2008,22,2008-08-10,Watkins Glen,43,Kyle Busch,1,Toyota,2.45,R,221,4146460.0,,4,9,97.148,8,https://www.racing-reference.info/race-results/2008_Centurion_Boats_at_the_Glen/W
238,238,2008,23,2008-08-17,Michigan,43,Carl Edwards,27,Ford,2.0,P,400,4458094.0,188.536,7,27,140.351,18,https://www.racing-reference.info/race-results/2008_3M_Performance_400_Presented_by_Bondo/W
