,date,tavg,tmin,tmax,prcp,snow,wspd,pres,site
71,2005-02-27,13.2,9.0,19.0,0.0,0.0,6.9,1019.6,Fontana
72,2005-03-13,18.9,14.4,23.3,0.0,0.0,11.2,1009.7,Las Vegas
73,2005-03-20,12.2,5.6,18.3,0.0,0.0,9.0,1018.0,Atlanta
74,2005-04-03,10.0,3.3,16.1,0.0,0.0,21.2,1016.5604819277108,Bristol
75,2005-04-17,20.0,13.9,26.1,0.0,0.0,19.1,1022.2,Fort Worth
76,2005-04-23,24.4,15.0,33.3,3.0,0.0,15.1,1009.8,Phoenix
77,2005-05-14,21.1,13.9,28.3,0.0,0.0,18.4,1016.4,Richmond
78,2005-05-29,18.3,9.4,26.7,0.0,0.0,4.3,1015.5,Charlotte
79,2005-06-19,16.3,8.3,22.8,0.0,0.0,5.3,1016.5604819277108,Michigan
80,2005-06-26,15.7,12.8,21.1,0.0,0.0,8.6,1016.5604819277108,Sonoma
81,2005-07-02,28.3,24.4,31.7,10.4,0.0,10.4,1012.8,Daytona
82,2005-07-10,26.9,20.0,32.2,0.0,0.0,12.0,1018.9,Chicago
83,2005-07-17,26.7,22.2,30.6,0.3,0.0,13.3,1018.8,Loudon
84,2005-08-07,25.6,21.1,31.1,0.5,0.0,8.3,1018.4,Indianapolis
85,2005-08-14,22.8,18.9,30.6,0.0,0.0,5.5,1016.5604819277108,Watkins Glen
86,2005-08-21,20.9,15.0,26.1,0.3,0.0,13.6,1015.0,Michigan
87,2005-08-27,22.1,18.3,25.0,2.0,0.0,3.6,1016.5604819277108,Bristol
88,2005-09-04,23.4,14.0,34.0,0.0,0.0,6.7,1013.3,Fontana
89,2005-09-10,23.4,17.2,30.6,0.0,0.0,7.2,1021.4,Richmond
90,2005-09-18,22.1,15.6,28.9,0.0,0.0,3.6,1018.0,Loudon
91,2005-10-09,11.5,6.7,16.7,0.0,0.0,11.1,1015.3,Kansas
92,2005-10-15,17.5,9.4,26.7,0.0,0.0,4.7,1012.7,Charlotte
93,2005-10-30,10.7,3.0,20.0,0.0,0.0,1.7,1029.4,Atlanta
94,2005-11-06,19.0,12.2,26.1,0.0,0.0,11.2,1016.3,Fort Worth
95,2005-11-13,19.2,12.2,26.7,0.0,0.0,6.1,1016.7,Phoenix
96,2005-11-20,24.3,22.0,27.0,0.0,0.0,7.4,1016.5,Homestead
97,2006-02-19,14.9,12.8,17.8,0.0,0.0,15.8,1016.5604819277108,Daytona
98,2006-02-26,15.5,8.9,24.4,0.0,0.0,5.2,1016.6,Fontana
99,2006-03-12,6.6,2.2,11.1,0.0,0.0,10.9,1011.4,Las Vegas
100,2006-03-20,9.1,4.0,13.3,26.4,0.0,11.6,1015.2,Atlanta
101,2006-03-26,2.0,-2.2,7.8,0.0,0.0,5.8,1016.5604819277108,Bristol
102,2006-04-09,17.1,6.1,25.0,0.0,0.0,9.4,1019.1,Fort Worth
103,2006-04-22,26.1,18.3,34.4,0.0,0.0,16.6,1006.7,Phoenix
104,2006-05-06,21.1,15.6,27.8,0.0,0.0,14.4,1009.5,Richmond
105,2006-05-13,18.0,9.0,26.0,0.0,0.0,9.5,1010.6,Darlington
106,2006-05-28,25.1,17.2,31.1,0.0,0.0,8.3,1018.4,Charlotte
107,2006-06-18,23.1,20.0,25.6,0.0,0.0,15.7,1012.1,Michigan
108,2006-06-25,18.2,13.3,27.8,0.0,0.0,10.1,1013.8,Sonoma
109,2006-07-01,26.8,22.2,30.6,0.0,0.0,9.4,1021.6,Daytona
110,2006-07-09,26.9,22.8,31.7,0.0,0.0,18.1,1012.4,Chicago
111,2006-07-16,27.8,22.8,33.3,0.0,0.0,13.3,1017.1,Loudon
112,2006-08-06,26.0,20.0,31.7,0.0,0.0,10.8,1017.3,Indianapolis
113,2006-08-13,15.2,5.6,25.0,0.0,0.0,6.2,1019.0,Watkins Glen
114,2006-08-20,19.1,14.4,24.4,0.0,0.0,10.8,1017.4,Michigan
115,2006-08-26,23.8,17.0,31.0,0.0,0.0,1.2,1017.0,Bristol
116,2006-09-03,28.8,20.0,38.9,0.0,0.0,6.7,1006.9,Fontana
117,2006-09-09,23.5,17.8,30.6,0.0,0.0,4.7,1018.4,Richmond
118,2006-09-17,20.7,13.9,27.8,0.0,0.0,4.7,1015.9,Loudon
119,2006-10-01,24.4,14.4,33.3,0.0,0.0,16.0,1013.4,Kansas
120,2006-10-14,9.7,0.0,18.9,0.0,0.0,7.2,1016.1,Charlotte
121,2006-10-22,9.9,2.0,19.0,0.0,0.0,2.8,1016.5604819277108,Martinsville
122,2006-10-29,11.9,3.3,21.7,0.0,0.0,5.9,1019.0,Atlanta
123,2006-11-05,18.2,15.6,21.1,28.2,0.0,17.3,1016.5604819277108,Fort Worth
124,2006-11-12,20.6,15.6,25.0,0.0,0.0,9.4,1012.3,Phoenix
125,2006-11-19,15.6,10.0,22.0,0.0,0.0,9.7,1015.7,Homestead
126,2007-02-18,9.1,5.0,13.3,2.8,0.0,15.8,1019.3,Daytona
127,2007-02-25,9.4,1.7,16.1,0.0,0.0,7.7,1017.7,Fontana
128,2007-03-11,,10.0,26.7,0.0,0.0,10.4,1016.5604819277108,Las Vegas
129,2007-03-18,7.2,-0.6,14.4,0.0,0.0,5.0,1023.9,Atlanta
130,2007-03-25,19.7,12.0,28.0,0.0,0.0,1.7,1025.5,Bristol
131,2007-04-01,17.1,13.0,22.0,0.0,0.0,8.0,1016.5604819277108,Martinsville
132,2007-04-15,12.8,3.9,21.7,0.0,0.0,9.0,1020.4,Fort Worth
133,2007-04-21,16.1,10.6,20.6,1.3,0.0,10.1,1012.8,Phoenix
134,2007-05-06,13.1,7.2,17.2,0.0,0.0,23.0,1025.0,Richmond
